track_id,seed_id,particleId,nStates,nMajorityHits,nMeasurements,nOutliers,nHoles,nSharedHits,chi2,ndf,chi2/ndf,pT,eta,phi,truthMatchProbability,good/duplicate/fake,Hits_ID
3281,261298,295|0|21|0|0,26,12,12,0,0,0,20.6928,30,0.689762,3.81443,2.38721,2.97417,1,good,"[34927,36269,41815,82319,85702,88543,155251,158908,162696,168079,171749,176058,]"
3280,261183,485|0|57|0|0,28,14,14,0,0,0,36.994,32,1.15606,1.03202,2.0335,3.04056,1,good,"[36302,41825,42350,60557,60822,82382,122256,155305,158975,164321,169210,172957,216034,216046,]"
3279,261167,457|0|59|0|0,30,1,7,9,0,0,43.5216,11,3.95651,1.31195,1.70227,3.03855,0.142857,fake,"[36193,122206,161595,211703,211666,215076,215083,]"
3278,261112,411|0|28|0|0,26,2,7,5,0,0,42.4473,13,3.26517,1.02893,1.62406,2.99707,0.285714,fake,"[36277,41786,121567,156764,211572,214964,214976,]"
3277,261055,17|0|21|0|0,26,12,12,0,0,0,20.6437,30,0.688122,1.06483,2.24927,3.04937,1,good,"[36056,42301,60552,60816,82343,85734,155278,158941,164303,168104,172918,176092,]"
3276,261000,517|0|119|0|0,22,11,11,0,0,0,13.2681,27,0.491412,1.49317,0.989597,3.06197,1,good,"[35998,42697,60706,60974,73659,73812,122141,134497,144200,151692,192945,]"
3275,260989,343|0|16|0|0,26,14,14,0,0,0,41.6678,30,1.38893,1.07699,0.210366,2.93469,1,good,"[34602,35928,42148,60433,60664,73514,121461,134281,144078,151634,192746,192747,201612,201616,]"
3274,260972,259|0|329|0|0,27,14,14,0,0,0,17.6351,30,0.587838,1.48722,1.15458,2.94529,1,good,"[34322,35650,42137,60446,60687,73525,121495,134303,144102,151590,192794,192800,206904,206896,]"
3273,260859,1|1|18|0|0,26,14,14,0,0,0,19.5757,29,0.675024,3.0644,0.669719,3.1104,1,good,"[35800,42651,60932,73641,73791,122100,134284,144083,151583,151466,192465,192469,201262,201264,]"
3272,260671,338|0|161|0|0,33,18,18,0,0,0,45.1592,34,1.32821,2.21516,1.8305,2.9792,1,good,"[34601,35925,42200,60506,73452,121569,134356,156815,160479,165375,165349,211636,211692,211673,213796,213779,217228,217212,]"
