track_id,seed_id,particleId,nStates,nMajorityHits,nMeasurements,nOutliers,nHoles,nSharedHits,chi2,ndf,chi2/ndf,pT,eta,phi,truthMatchProbability,good/duplicate/fake,Hits_ID
3075,251455,52|0|65|0|0,25,10,10,0,0,0,17.2711,25,0.690843,1.80036,2.40098,2.99944,1,good,"[34507,39789,78865,82229,85012,152577,156387,161885,165543,168794,]"
3074,251258,496|0|104|0|0,25,12,12,0,0,0,34.9676,25,1.3987,3.85948,1.31725,3.08561,1,good,"[34448,40789,58134,70490,70627,117265,129205,138425,199550,199535,202512,202500,]"
3073,251222,153|0|7|0|0,18,9,9,0,0,0,24.6196,26,0.946907,1.01047,2.74089,2.96326,1,good,"[33253,34516,39844,76585,80451,85019,87297,89115,156393,]"
3072,251206,130|28|130|0|0,23,11,11,0,0,0,24.682,22,1.12191,1.46008,1.13139,3.00255,1,good,"[40182,58081,70346,116597,128808,138090,145197,145140,184870,198701,198709,]"
3071,251200,625|0|33|0|0,25,13,13,0,0,0,27.9023,26,1.07317,1.51863,0.799409,3.07974,1,good,"[34056,40628,58282,70702,117189,129159,138589,138391,145546,185579,185580,193778,193779,]"
3070,251009,476|0|103|0|0,29,2,7,7,0,0,23.6699,10,2.36699,1.0905,1.64225,3.08645,0.285714,fake,"[34049,117267,201470,201478,204600,204593,206810,]"
3069,250885,111|0|138|0|0,27,2,7,6,0,0,43.2364,12,3.60303,1.05317,1.76463,-3.11707,0.285714,fake,"[34053,117277,150545,155297,203385,203369,206743,]"
3068,250851,601|0|242|0|0,29,17,17,0,0,0,34.1924,34,1.00566,1.58969,0.2705,2.98553,1,good,"[33034,34284,40160,58071,70444,70577,116571,128981,138279,145485,145438,185440,185443,193677,193681,193575,193578,]"
3067,250690,681|0|418|0|0,24,10,10,0,0,0,25.7342,26,0.989775,1.52872,2.59147,2.9163,1,good,"[34603,39839,76651,82266,85053,87332,156415,160314,164145,168814,]"
3066,250660,345|0|3|0|0,23,12,12,0,0,0,20.7976,28,0.742773,1.71588,1.15462,3.05499,1,good,"[34409,40264,40776,57870,70360,70480,116632,129016,138201,145268,197851,197837,]"
