track_id,seed_id,particleId,nStates,nMajorityHits,nMeasurements,nOutliers,nHoles,nSharedHits,chi2,ndf,chi2/ndf,pT,eta,phi,truthMatchProbability,good/duplicate/fake,Hits_ID
3042,244677,578|40|167|0|0,22,6,7,3,0,0,24.2272,18,1.34596,1.12037,1.52132,3.10515,0.857143,good,"[32828,39144,55810,56057,68085,112619,196000,]"
3041,244617,68|0|132|0|0,31,2,7,8,0,0,46.8825,12,3.90687,1.08884,1.87625,3.11706,0.285714,fake,"[32477,112628,124627,149498,200082,200066,203445,]"
3040,244517,441|0|58|0|0,32,17,17,0,0,0,37.4509,34,1.1015,1.21191,1.82836,2.93829,1,good,"[31480,32777,38622,55528,55823,67969,112645,124642,145922,149556,154427,197996,197986,200137,200127,203478,203471,]"
3039,244508,682|0|66|0|0,28,15,15,0,0,0,34.4443,37,0.930927,1.53117,2.14674,2.94465,1,good,"[31864,33142,38168,55575,55851,76484,79879,112696,144381,147987,153295,157069,161886,161869,165045,]"
3038,244316,140|0|118|0|0,26,12,13,0,0,0,32.6601,26,1.25616,1.15697,1.63166,3.13818,0.923077,good,"[38693,56066,68097,68221,113206,112637,124625,145910,150585,197952,197941,201259,201255,]"
3037,244296,574|0|256|0|0,25,13,13,0,0,0,29.5508,25,1.18203,2.48637,0.78547,3.09644,1,good,"[32548,39082,56202,68291,113150,124733,133813,140795,179971,179974,179867,188305,188307,]"
3036,244257,1|2|36|0|0,25,13,13,0,0,0,24.6579,27,0.913254,21.4711,0.575116,2.99049,1,good,"[31322,32598,38454,55971,68025,112552,124549,133617,140586,179590,179594,187962,187967,]"
3035,244115,460|0|87|0|0,27,14,14,1,0,0,26.5779,28,0.949211,1.82083,0.559408,3.02217,1,good,"[32783,38502,55991,68034,112546,124564,124405,133626,133545,140482,179428,179282,187759,187762,]"
3034,244007,1|2|35|0|0,25,13,13,0,0,0,36.6456,26,1.40944,3.17845,0.412336,-3.13933,1,good,"[32597,39022,56179,68282,113116,124718,133802,133710,140696,179581,179583,188049,188051,]"
3033,244000,198|0|46|0|0,31,4,7,9,0,0,30.794,10,3.0794,1.09922,1.87074,3.09596,0.571429,good,"[32732,113218,200152,203482,203494,203522,203506,]"
3032,243990,162|0|15|0|0,25,12,12,0,0,0,21.4001,24,0.891671,1.5258,1.27207,3.11501,1,good,"[32403,39037,56213,68192,113155,124748,134015,140852,192745,192755,195220,195228,]"
3031,243726,1|2|174|0|0,26,14,14,0,0,0,28.2028,29,0.972511,3.90331,0.503972,3.04448,1,good,"[32603,38457,39023,55973,68157,113117,112536,124551,133712,140697,179843,179847,188223,188225,]"
