track_id,seed_id,particleId,nStates,nMajorityHits,nMeasurements,nOutliers,nHoles,nSharedHits,chi2,ndf,chi2/ndf,pT,eta,phi,truthMatchProbability,good/duplicate/fake,Hits_ID
2700,230866,1|0|22|0|0,26,13,13,0,0,0,18.0293,33,0.546344,1.72831,2.30001,3.0785,1,good,"[32523,38204,54412,73639,73697,76720,76779,138539,141867,145304,150300,153533,157487,]"
2699,230848,631|0|107|0|0,25,12,12,0,0,0,18.5192,24,0.771634,1.46698,1.26326,3.08355,1,good,"[32506,38617,54593,65939,108790,120163,128682,135175,183740,183729,186136,186126,]"
2698,230782,121|0|16|0|0,27,14,14,0,0,0,20.8282,35,0.595092,1.25897,2.32682,3.09732,1,good,"[32550,38215,54418,73655,73708,76732,76791,138544,141871,145309,150246,150306,153536,157494,]"
2697,230674,584|0|79|0|0,25,13,13,0,0,0,13.6055,26,0.523287,1.38123,0.904324,3.0738,1,good,"[32492,38562,54817,66164,109351,120319,128992,128825,135406,172044,172047,179884,179890,]"
2696,230645,683|0|68|0|0,25,12,12,0,0,0,20.793,30,0.6931,2.67962,2.5055,3.08383,1,good,"[32796,38284,71716,76830,79353,81386,141947,145373,148926,153610,156530,156507,]"
2695,230639,631|0|84|0|0,25,11,11,0,0,0,26.1581,28,0.934218,1.1124,2.58627,3.07321,1,good,"[32786,38282,71711,76826,79349,81380,145368,148922,152327,153633,156527,]"
2694,230618,478|0|71|0|0,32,1,7,10,0,0,36.8472,11,3.34974,1.23328,1.91499,-3.11803,0.142857,fake,"[32285,109431,140031,190765,190780,193772,193766,]"
2693,230567,632|0|157|0|0,28,13,13,1,0,0,24.76,27,0.917035,1.12174,1.6176,3.12072,1,good,"[32508,38618,54594,54642,65949,109402,108804,140932,144349,187007,186995,189846,189833,]"
2692,230549,576|0|98|0|0,24,12,12,0,0,0,18.4656,24,0.769399,1.99858,0.136159,3.09576,1,good,"[32483,38557,54783,66140,109314,120292,128812,135397,172007,172011,179756,179758,]"
2691,230501,20|0|111|0|0,26,14,14,0,0,0,20.484,26,0.787846,1.2762,0.939683,3.09907,1,good,"[32295,38520,54792,66156,109335,120310,128989,135451,172042,172045,179961,179962,179881,179887,]"
2690,230381,431|0|153|0|0,24,13,13,0,0,0,19.6441,29,0.677383,2.8991,0.973397,2.93604,1,good,"[31230,32428,38096,54330,65767,108769,108478,119980,128592,135124,135065,171424,171428,]"
2689,230284,683|0|67|0|0,26,11,11,0,0,0,24.3377,28,0.869205,1.06532,2.3979,2.92019,1,good,"[31577,32795,37730,73696,76777,79304,141907,145333,150333,153609,156506,]"
2688,230249,696|0|45|0|0,26,14,14,0,0,0,33.641,30,1.12137,1.48616,0.858801,2.92792,1,good,"[31312,32522,38063,54317,54577,65913,108757,120150,128755,135308,171924,171930,179702,179705,]"
2687,230227,403|0|35|0|0,28,2,7,7,0,0,15.2008,10,1.52008,1.77639,1.48322,3.13803,0.285714,fake,"[32575,109388,185268,187074,187076,189892,189903,]"
2686,230224,132|0|60|0|0,28,14,14,0,0,0,22.9398,27,0.849622,1.47189,1.48413,3.12696,1,good,"[32555,38630,54627,66083,109388,120495,120344,129020,140952,185245,185262,187069,187081,189915,]"
2685,230123,36|0|1|0|0,26,14,14,0,0,0,23.4361,30,0.781202,1.42111,0.910576,2.93943,1,good,"[30855,32073,38004,54276,54524,65887,108739,120137,128753,135306,171919,171925,179700,179703,]"
2684,230012,576|0|121|0|0,20,7,8,0,0,0,41.4256,21,1.97265,1.96724,2.22121,2.97661,0.875,good,"[31561,32777,37704,73690,76768,138582,141903,146748,]"
2683,229870,538|0|148|0|0,26,13,13,0,0,0,35.2361,27,1.30504,1.17146,1.39585,2.96389,1,good,"[31266,32466,38108,54589,65806,108787,120175,128773,140944,185237,185223,187989,187998,]"
2682,229776,317|0|65|0|0,27,14,14,0,0,0,19.411,26,0.746577,1.00501,1.11983,3.0155,1,good,"[32176,38024,54561,65903,108765,119976,128595,135068,171434,171439,171284,171289,184476,184484,]"
2681,229710,383|0|58|0|0,22,10,10,0,0,0,9.23726,24,0.384886,1.19747,2.12805,3.02473,1,good,"[32619,37664,54405,73674,108846,138569,141892,146753,150258,154604,]"
2680,229621,393|0|7|0|0,29,2,7,8,0,0,41.6329,11,3.78481,1.02285,1.98398,3.00745,0.285714,fake,"[31094,109434,143397,190813,190826,192820,192836,]"
2679,229499,576|0|151|0|0,28,16,16,0,0,0,32.0245,34,0.941897,1.27254,0.537134,3.05559,1,good,"[32484,38047,38558,54540,65894,66029,108733,120133,119965,128669,128583,135118,171393,171399,179277,179281,]"
2678,229463,494|130|430|0|0,29,15,15,0,0,0,32.4655,31,1.04727,2.01732,1.77385,3.03421,1,good,"[32230,38040,38549,54586,65946,109398,120359,120193,140027,144364,147865,188919,188900,191851,191844,]"
2677,229427,667|0|15|0|0,27,13,13,0,0,0,26.4379,26,1.01684,1.23213,1.69567,3.03126,1,good,"[32692,38160,54401,65963,109439,120370,140060,144371,147872,188940,188958,191865,191877,]"
2676,229303,251|0|66|0|0,26,12,12,0,0,0,13.9986,30,0.466619,1.24748,-2.39053,2.91787,1,good,"[30583,31814,37758,13452,9669,6463,102761,99304,95797,93714,90144,86738,]"
2675,229165,488|0|22|0|0,28,16,16,0,0,0,25.0243,32,0.782009,1.58003,-0.466496,2.98091,1,good,"[31032,32222,37980,54271,54519,65864,109004,120091,128643,135092,171467,171472,179322,179325,179233,179236,]"
2674,228994,52|0|57|0|0,29,14,14,0,0,0,17.2777,29,0.595784,1.76399,-1.58354,3.07422,1,good,"[32305,38419,54724,65966,66100,109505,120388,128802,105066,101773,164284,164274,163408,163397,]"
2673,228912,463|0|24|0|0,25,13,13,0,0,0,23.3668,27,0.865438,3.77233,-0.72523,2.98772,1,good,"[30784,32003,37917,54460,65849,108958,120078,128713,135180,171572,171575,179386,179388,]"
2672,228743,576|0|215|0|0,24,11,11,0,0,0,20.4724,27,0.758239,1.23336,-2.18956,3.09147,1,good,"[32030,38322,54606,13529,9744,102830,99356,97348,93758,91241,87796,]"
2671,228659,589|0|33|0|0,24,11,11,0,0,0,17.6163,22,0.800741,1.31344,-1.37582,3.03193,1,good,"[32268,37933,54466,65833,108944,120047,128563,165910,165914,165157,165150,]"
2670,228548,1|0|56|0|0,23,10,10,0,0,0,10.4696,23,0.455202,1.9279,-1.26823,2.99941,1,good,"[31902,37824,54434,65823,65964,108911,120220,128776,166770,166780,]"
2669,228534,75|0|74|0|0,26,4,8,4,0,0,36.5572,18,2.03095,1.16407,-2.03763,-3.11371,0.5,good,"[31919,38328,54610,13493,109294,94767,158428,158410,]"
2668,228203,268|0|28|0|0,28,16,16,0,0,0,24.4209,31,0.787772,1.87164,-0.653808,2.9479,1,good,"[30954,32152,37967,54239,65723,108974,108651,120085,128636,135088,171454,171460,179309,179312,179223,179227,]"
2667,228101,520|0|37|0|0,26,12,12,0,0,0,15.724,29,0.542208,2.09485,-2.15879,2.92384,1,good,"[30799,32020,37810,54086,13471,108683,102781,99318,97264,93726,91207,87760,]"
2666,228059,229|0|110|0|0,24,12,12,0,0,0,23.1511,25,0.926044,1.41893,0.251194,2.92051,1,good,"[30938,32139,37963,54265,65880,108712,128740,135299,171885,171891,179675,179677,]"
2665,228053,551|0|95|0|0,26,14,14,0,0,0,21.6333,29,0.745977,1.5812,-0.751365,3.04462,1,good,"[32249,37992,38509,54523,66001,109556,120420,128873,135422,135376,172082,172087,179792,179795,]"
2664,228039,141|0|1|0|0,27,14,14,0,0,0,10.7026,26,0.411638,5.53974,-1.52765,2.94029,1,good,"[37883,54212,54451,65826,108914,120030,128647,105051,165929,165918,164228,164209,163373,163364,]"
2663,228017,394|0|18|0|0,27,12,12,0,0,0,8.73891,30,0.291297,1.44987,-2.41846,2.96918,1,good,"[30612,31851,37644,13464,9683,6475,99313,95804,92211,93720,90151,86746,]"
2662,227953,221|0|2|0|0,23,12,12,0,0,0,9.44317,24,0.393466,1.01226,-0.317801,3.1114,1,good,"[38531,54512,54758,66007,108996,120265,128725,135146,171475,171476,179332,179334,]"
2661,227175,120|0|87|0|0,26,13,13,0,0,0,41.7309,34,1.22738,3.14822,-2.70372,2.93975,1,good,"[30499,31722,11160,7919,5179,6448,3767,1816,95715,92126,88662,85603,86678,]"
2660,227081,120|0|90|0|0,23,11,11,0,0,0,21.2171,30,0.707238,1.38614,-2.78623,2.90202,1,good,"[30501,31691,11163,7921,5181,3769,1817,656,92198,88726,85647,]"
2659,227049,622|0|45|0|0,19,9,9,0,0,0,24.1702,25,0.966808,1.05908,-2.96349,3.05176,1,good,"[11298,8005,5233,3001,1883,695,122,88786,85682,]"
2658,227007,603|0|24|0|0,23,12,12,0,0,0,31.903,34,0.938322,1.97063,-2.97309,2.94872,1,good,"[30485,31589,11224,7957,5197,2988,1371,1842,672,115,88686,85615,]"
2657,226988,486|0|189|0|0,28,15,15,0,0,0,44.5018,40,1.11254,2.30709,-2.70157,3.0733,1,good,"[31761,11285,7996,5226,6524,6482,3835,3795,1873,1838,95805,92213,88740,85655,86750,]"
2656,226906,314|0|143|0|0,23,10,10,0,0,0,14.1967,27,0.525803,1.29573,-2.83923,3.05086,1,good,"[31745,11263,7978,5213,3823,1862,683,92235,88763,85671,]"
2655,226901,407|0|69|0|0,18,7,8,0,0,0,17.2722,23,0.750964,1.7764,-2.72572,3.12557,0.875,good,"[31702,11276,7990,5221,3831,1869,687,92257,]"
2654,226864,62|0|128|0|0,28,16,16,0,0,0,31.4347,32,0.982334,1.18072,0.516442,3.00037,1,good,"[32084,37945,38466,54525,66012,109318,108719,120294,128814,135401,135343,172020,172022,179837,179840,179766,]"
2653,226859,520|0|48|0|0,26,13,13,0,0,0,19.7589,27,0.731812,1.97463,-1.48827,3.00842,1,good,"[32240,37924,38452,54463,65972,108927,120219,128732,105079,165943,165953,165189,165196,]"
2652,226786,562|19|139|0|0,25,13,13,0,0,0,16.9991,27,0.629597,1.39305,-0.939873,3.03696,1,good,"[32254,37930,38455,54496,65853,108962,120063,128628,135136,171431,171363,179255,179258,]"
2651,226649,353|0|33|0|0,28,14,14,0,0,0,23.8207,29,0.821405,1.52193,-1.74746,3.06563,1,good,"[31982,37848,38386,54425,65917,108881,120110,104168,101767,98297,162315,162329,161370,161380,]"
2650,226589,314|0|148|0|0,25,13,13,0,0,0,21.4409,27,0.794109,1.79029,-0.518507,3.07567,1,good,"[32384,37975,38491,54516,66009,108999,120255,128721,135186,171594,171599,179399,179400,]"
